Plant_Name,Scientific_Name,Protein_Seq,Identical_Protein_Groups,Protein,NCBI_link
Myrrh,Commiphora myrrha,2,1,2,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/318982/
Nayantara / Sadafuli,Catharanthus roseus,"39,409","37,713","67,099",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4058/
Neem / Indian-lilac / Margosa,Azadirachta indica,478,247,"25,460",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/124943/
Nut Grass / Nagarmotha,Cyperus rotundus Linn,347,158,402,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/512623/
Nutmeg,Myristica fragrans,296,145,312,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/51089/
Oats,Avena sativa,986,557,"1,28,741",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4498/
Okinawan spinach,Gynura bicolor,133,124,145,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/714476/
Olive,Olea europaea,"1,43,289","1,21,376","3,38,053",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4146/
Oregano,Origanum vulgare,791,241,"16,921",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39352/
Osha,Ligusticum porteri,0,0,0,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/54719/
Pacific yew,Taxus brevifolia,390,120,392,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/46220/
Palasha / Flame of forest / Bengal kino,Butea monosperma,312,134,318,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/56060/
Panax ginseng C.A. Mey,Panax ginseng,"6,057",831,"64,027",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4054/
Pangar,Aesculus indica,11,7,"5,556",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/531823/
Papaya / Mamon,Carica papaya,"29,599","22,926","84,718",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3649/
Parsley,Petroselinum crispum,620,255,"7,421",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4043/
Partridgeberry,Mitchella repens,145,136,145,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/45181/
Patha / Velvet Leaf Tree,Cissampelos pareira Linn,67,57,69,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/108409/
Patharchur,Plectranthus barbatus,368,194,374,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/41228/
Pennyroyal,Mentha pulegium,298,113,300,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/294739/
Peppermint,Mentha piperita,491,234,537,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/34256/
Perilla / Beefsteak-mint,Perilla frutescens var. crispa,"85,193",95,"12,200",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/48386/
Periwinkle / Vinca / Madagascar periwinkle,Catharanthus roseus,"39,409","37,713","67,099",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4058/
Persian violet,Cyclamen persicum,209,195,274,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/87530/
